ID,IID,Title,Description,Type,URL,State,Confidential,Locked,Milestone,Labels,Author,Author Username,Assignee,Assignee Username,Created At (UTC),Updated At (UTC),Closed At (UTC),Due Date,Start Date,Parent ID,Parent IID,Parent Title,Time Estimate,Time Spent,Weight
191122518,11,"US : Éditer les détails d'un template sauvegardé (nom, description, tâches par défaut)","### 👤 Rôle utilisateur
**En tant que** créateur du template
**Je souhaite** modifier le contenu du template sauvegardé sans affecter les projets déjà créés à partir de celui-ci
**Afin de** faire évoluer nos modèles de travail au fil du temps

### 📋 Critères d'acceptation (Gherkin / Règles)
- Éditeur de template dédié accessible depuis les paramètres
- Liste des tâches modifiable (ajout, suppression, glisser-déposer)

### 🛠️ DoD (Definition of Done)
- [ ] Code propre, documenté et testé unitairement (couverture > 80%)
- [ ] Revue de code approuvée par un développeur senior (Sarah ou Max)
- [ ] Changements vérifiés en environnement de QA (Julie)
- [ ] Aucune régression sur le dashboard ou le mode hors-ligne",Issue,https://gitlab.com/philippe.pary.astek/backlog-formation-popm/-/work_items/11,Closed,No,No,,"Feature::C - Templates, Priority::Medium, Type::User Story",Philippe Pary,philippe.pary.astek,"","",2026-05-27 13:25:55,2026-05-27 13:25:56,2026-05-27 13:25:56,,,,,,,,
191122520,12,Bug : Les dépendances entre tâches sont perdues lors de l'application d'un template,"### 🚨 Description de l'anomalie
Un dysfonctionnement a été signalé par les utilisateurs ou l'équipe QA.

### 🎯 Comportement attendu
Si la tâche B dépend de la tâche A dans le template, cette dépendance de blocage doit être présente dans le projet final.

### ⚠️ Comportement observé
Toutes les tâches sont créées comme indépendantes, les liens parent-enfant et blocages disparaissent.

### 🔄 Étapes de reproduction
1. Choisir le template 'Développement Scrum'
2. Créer le projet
3. Constater que 'Rédiger les tests' n'est plus bloqué par 'Écrire le code'

### 💻 Environnement
- Navigateur: Chrome 124
- OS: macOS Sonoma",Issue,https://gitlab.com/philippe.pary.astek/backlog-formation-popm/-/work_items/12,Closed,No,No,,"Feature::C - Templates, Priority::High, Type::Bug",Philippe Pary,philippe.pary.astek,"","",2026-05-27 13:25:57,2026-05-27 13:25:57,2026-05-27 13:25:57,,,,,,,,
191122521,13,US : Appliquer un template à un projet existant déjà créé,"### 👤 Rôle utilisateur
**En tant que** gestionnaire de projet
**Je souhaite** injecter un ensemble de tâches préconfigurées d'un template au milieu d'un projet déjà existant
**Afin de** ajouter une phase (ex: phase d'audit) au milieu d'un projet sans repartir de zéro

### 📋 Critères d'acceptation (Gherkin / Règles)
- Avertissement à l'utilisateur que cela va ajouter des tâches à son tableau actuel
- Aucune tâche existante n'est supprimée ou modifiée

### 🛠️ DoD (Definition of Done)
- [ ] Code propre, documenté et testé unitairement (couverture > 80%)
- [ ] Revue de code approuvée par un développeur senior (Sarah ou Max)
- [ ] Changements vérifiés en environnement de QA (Julie)
- [ ] Aucune régression sur le dashboard ou le mode hors-ligne",Issue,https://gitlab.com/philippe.pary.astek/backlog-formation-popm/-/work_items/13,Closed,No,No,,"Feature::C - Templates, Priority::Medium, Type::User Story",Philippe Pary,philippe.pary.astek,"","",2026-05-27 13:25:58,2026-05-27 13:25:59,2026-05-27 13:25:59,,,,,,,,
191122523,14,Bug : Crash lors de la création d'un projet si le titre contient plus de 100 caractères,"### 🚨 Description de l'anomalie
Un dysfonctionnement a été signalé par les utilisateurs ou l'équipe QA.

### 🎯 Comportement attendu
Le formulaire doit tronquer le titre à 100 caractères ou lever une erreur de validation propre.

### ⚠️ Comportement observé
Erreur 500 PostgreSQL du fait d'une contrainte `VARCHAR(100)` non gérée par le backend Node.js. L'application crashe et affiche un écran blanc.

### 🔄 Étapes de reproduction
1. Créer un projet
2. Taper un titre gigantesque de 120 caractères
3. Valider

### 💻 Environnement
- Navigateur: Chrome 124
- OS: macOS Sonoma",Issue,https://gitlab.com/philippe.pary.astek/backlog-formation-popm/-/work_items/14,Closed,No,No,,"Feature::C - Templates, Priority::Medium, Type::Bug",Philippe Pary,philippe.pary.astek,"","",2026-05-27 13:25:59,2026-05-27 13:26:00,2026-05-27 13:26:00,,,,,,,,
191122524,15,US : Bibliothèque étendue (20+ templates métiers classés par catégorie),"### 👤 Rôle utilisateur
**En tant que** utilisateur
**Je souhaite** découvrir 20+ templates de projets professionnels complets pour divers secteurs d'activités
**Afin de** répondre à tous nos cas d'usage métiers sans configuration

### 📋 Critères d'acceptation (Gherkin / Règles)
- Ajout de catégories : Construction, Événementiel, Support Client, Design UX/UI
- Qualité professionnelle certifiée par nos Product Managers

### 🛠️ DoD (Definition of Done)
- [ ] Code propre, documenté et testé unitairement (couverture > 80%)
- [ ] Revue de code approuvée par un développeur senior (Sarah ou Max)
- [ ] Changements vérifiés en environnement de QA (Julie)
- [ ] Aucune régression sur le dashboard ou le mode hors-ligne",Issue,https://gitlab.com/philippe.pary.astek/backlog-formation-popm/-/work_items/15,Closed,No,No,,"Feature::C - Templates, Priority::High, Type::User Story",Philippe Pary,philippe.pary.astek,"","",2026-05-27 13:26:01,2026-05-27 13:26:02,2026-05-27 13:26:01,,,,,,,,
191122528,16,US : Définir des dates relatives pour les tâches du template,"### 👤 Rôle utilisateur
**En tant que** créateur de template
**Je souhaite** définir les dates d'échéance des tâches en nombre de jours après la création du projet (ex: J+5, J+10)
**Afin de** ne pas avoir à ajuster manuellement toutes les dates à chaque création de projet

### 📋 Critères d'acceptation (Gherkin / Règles)
- Configuration relative (+X jours après début du projet)
- Lors de la création, le backend calcule dynamiquement les dates réelles selon la date du jour

### 🛠️ DoD (Definition of Done)
- [ ] Code propre, documenté et testé unitairement (couverture > 80%)
- [ ] Revue de code approuvée par un développeur senior (Sarah ou Max)
- [ ] Changements vérifiés en environnement de QA (Julie)
- [ ] Aucune régression sur le dashboard ou le mode hors-ligne",Issue,https://gitlab.com/philippe.pary.astek/backlog-formation-popm/-/work_items/16,Closed,No,No,,"Feature::C - Templates, Priority::High, Type::User Story",Philippe Pary,philippe.pary.astek,"","",2026-05-27 13:26:02,2026-05-27 13:26:03,2026-05-27 13:26:03,,,,,,,,
191122529,17,Bug : Mauvais décalage des dates de tâches si le projet commence un jour férié,"### 🚨 Description de l'anomalie
Un dysfonctionnement a été signalé par les utilisateurs ou l'équipe QA.

### 🎯 Comportement attendu
Les tâches ne doivent pas tomber un samedi, un dimanche ou un jour férié national (selon le calendrier de l'organisation).

### ⚠️ Comportement observé
Le calcul simpliste `date + X` assigne des échéances des week-ends ou jours fériés, faussant la planification initiale.

### 🔄 Étapes de reproduction
1. Créer un projet à partir d'un template le vendredi après-midi
2. La tâche prévue à J+1 est planifiée le samedi

### 💻 Environnement
- Navigateur: Chrome 124
- OS: macOS Sonoma",Issue,https://gitlab.com/philippe.pary.astek/backlog-formation-popm/-/work_items/17,Closed,No,No,,"Feature::C - Templates, Priority::Medium, Type::Bug",Philippe Pary,philippe.pary.astek,"","",2026-05-27 13:26:04,2026-05-27 13:26:05,2026-05-27 13:26:05,,,,,,,,
191122531,18,US : Exporter un template personnalisé au format JSON,"### 👤 Rôle utilisateur
**En tant que** administrateur technique
**Je souhaite** télécharger mon template sous forme de fichier JSON structuré sur mon ordinateur
**Afin de** sauvegarder physiquement mes processus ou les transférer vers une autre instance TaskFlow

### 📋 Critères d'acceptation (Gherkin / Règles)
- Bouton 'Exporter au format JSON'
- Fichier valide contenant tout le schéma de la structure de projet

### 🛠️ DoD (Definition of Done)
- [ ] Code propre, documenté et testé unitairement (couverture > 80%)
- [ ] Revue de code approuvée par un développeur senior (Sarah ou Max)
- [ ] Changements vérifiés en environnement de QA (Julie)
- [ ] Aucune régression sur le dashboard ou le mode hors-ligne",Issue,https://gitlab.com/philippe.pary.astek/backlog-formation-popm/-/work_items/18,Closed,No,No,,"Feature::C - Templates, Priority::Low, Type::User Story",Philippe Pary,philippe.pary.astek,"","",2026-05-27 13:26:06,2026-05-27 13:26:06,2026-05-27 13:26:06,,,,,,,,
191122532,19,US : Importer un template personnalisé depuis un fichier JSON,"### 👤 Rôle utilisateur
**En tant que** administrateur technique
**Je souhaite** uploader un fichier JSON pour recréer instantanément un template dans notre bibliothèque d'organisation
**Afin de** gagner du temps en important des processus externes

### 📋 Critères d'acceptation (Gherkin / Règles)
- Validation stricte du schéma JSON à l'upload
- Message d'erreur clair si des clés obligatoires sont manquantes

### 🛠️ DoD (Definition of Done)
- [ ] Code propre, documenté et testé unitairement (couverture > 80%)
- [ ] Revue de code approuvée par un développeur senior (Sarah ou Max)
- [ ] Changements vérifiés en environnement de QA (Julie)
- [ ] Aucune régression sur le dashboard ou le mode hors-ligne",Issue,https://gitlab.com/philippe.pary.astek/backlog-formation-popm/-/work_items/19,Closed,No,No,,"Feature::C - Templates, Priority::Low, Type::User Story",Philippe Pary,philippe.pary.astek,"","",2026-05-27 13:26:07,2026-05-27 13:26:08,2026-05-27 13:26:08,,,,,,,,
191122536,20,US : Rendre un template public et accessible à l'ensemble des utilisateurs de TaskFlow (Premium),"### 👤 Rôle utilisateur
**En tant que** partenaire certifié
**Je souhaite** soumettre mon template à l'équipe TaskFlow pour qu'il soit intégré au catalogue public universel
**Afin de** gagner en visibilité en partageant nos méthodologies avec le monde entier

### 📋 Critères d'acceptation (Gherkin / Règles)
- Workflow de validation PO en interne chez TaskFlow
- Modération et nettoyage du template avant publication générale

### 🛠️ DoD (Definition of Done)
- [ ] Code propre, documenté et testé unitairement (couverture > 80%)
- [ ] Revue de code approuvée par un développeur senior (Sarah ou Max)
- [ ] Changements vérifiés en environnement de QA (Julie)
- [ ] Aucune régression sur le dashboard ou le mode hors-ligne",Issue,https://gitlab.com/philippe.pary.astek/backlog-formation-popm/-/work_items/20,Closed,No,No,,"Feature::C - Templates, Priority::Low, Type::User Story",Philippe Pary,philippe.pary.astek,"","",2026-05-27 13:26:09,2026-05-27 13:26:10,2026-05-27 13:26:10,,,,,,,,
191122538,21,Spike : Analyse technique de l'API Slack et Webhooks,"### 🔍 Objectif d'étude & recherche
Étudier les protocoles d'autorisation Slack (OAuth 2.0), le format Block Kit pour les messages riches et les contraintes de Rate Limiting de l'API Slack.

### 📦 Livrables attendus
- POC fonctionnel d'envoi de message Block Kit sur un canal Slack test
- Rapport de faisabilité sur la volumétrie",Issue,https://gitlab.com/philippe.pary.astek/backlog-formation-popm/-/work_items/21,Closed,No,No,,"Feature::A - Slack, Priority::Medium, Type::Spike",Philippe Pary,philippe.pary.astek,"","",2026-05-27 13:26:11,2026-05-27 13:26:12,2026-05-27 13:26:11,,,,,,,,
191122542,22,Configuration du serveur TaskFlow pour recevoir les payloads Slack,"### 🛡️ Problématique technique (Dette accumulée)
Le serveur Node.js n'a pas de route d'API dédiée et sécurisée pour valider et décoder les requêtes entrantes de Slack.

### 💡 Solution proposée
Développement d'un middleware Express de signature de payload Slack (`x-slack-signature`) et setup des variables d'environnement confidentielles.

### ⚡ Impact attendu
- Sécurité assurée (aucun spoofing de webhook possible)
- Validation en < 5ms",Issue,https://gitlab.com/philippe.pary.astek/backlog-formation-popm/-/work_items/22,Closed,No,No,,"Feature::A - Slack, Priority::High, Type::Tech Debt",Philippe Pary,philippe.pary.astek,"","",2026-05-27 13:26:12,2026-05-27 13:26:13,2026-05-27 13:26:13,,,,,,,,
191122545,23,US : Recevoir une notification Slack lors de la création d'une tâche,"### 👤 Rôle utilisateur
**En tant que** membre d'équipe
**Je souhaite** recevoir un message sur notre canal Slack connecté dès qu'une tâche est créée dans TaskFlow
**Afin de** être informé en temps réel des nouveaux travaux sans ouvrir l'application

### 📋 Critères d'acceptation (Gherkin / Règles)
- Le message Slack contient le titre, la description courte et un lien direct vers la tâche
- Le canal Slack cible est configurable par projet

### 🛠️ DoD (Definition of Done)
- [ ] Code propre, documenté et testé unitairement (couverture > 80%)
- [ ] Revue de code approuvée par un développeur senior (Sarah ou Max)
- [ ] Changements vérifiés en environnement de QA (Julie)
- [ ] Aucune régression sur le dashboard ou le mode hors-ligne",Issue,https://gitlab.com/philippe.pary.astek/backlog-formation-popm/-/work_items/23,Closed,No,No,,"Feature::A - Slack, Priority::High, Type::User Story",Philippe Pary,philippe.pary.astek,"","",2026-05-27 13:26:14,2026-05-27 13:26:14,2026-05-27 13:26:14,,,,,,,,
191122546,24,US : Recevoir une notification Slack lors du changement de statut d'une tâche,"### 👤 Rôle utilisateur
**En tant que** Product Owner
**Je souhaite** recevoir une alerte Slack quand une tâche passe de 'In Progress' à 'QA' ou de 'QA' à 'Done'
**Afin de** suivre l'avancement de la livraison en temps réel et valider immédiatement les fonctionnalités

### 📋 Critères d'acceptation (Gherkin / Règles)
- Indication claire de l'ancien statut et du nouveau statut
- Mention du responsable de la tâche dans le message Slack

### 🛠️ DoD (Definition of Done)
- [ ] Code propre, documenté et testé unitairement (couverture > 80%)
- [ ] Revue de code approuvée par un développeur senior (Sarah ou Max)
- [ ] Changements vérifiés en environnement de QA (Julie)
- [ ] Aucune régression sur le dashboard ou le mode hors-ligne",Issue,https://gitlab.com/philippe.pary.astek/backlog-formation-popm/-/work_items/24,Closed,No,No,,"Feature::A - Slack, Priority::High, Type::User Story",Philippe Pary,philippe.pary.astek,"","",2026-05-27 13:26:15,2026-05-27 13:26:16,2026-05-27 13:26:16,,,,,,,,
191122547,25,US : Paramétrer l'intégration Slack depuis l'interface utilisateur,"### 👤 Rôle utilisateur
**En tant que** administrateur de projet
**Je souhaite** cliquer sur un bouton 'Connecter Slack' dans les paramètres de mon projet, m'authentifier et choisir le canal de destination
**Afin de** configurer l'intégration de manière autonome sans faire appel à un développeur

### 📋 Critères d'acceptation (Gherkin / Règles)
- Authentification OAuth2 simplifiée
- Sélecteur de canal Slack en liste déroulante

### 🛠️ DoD (Definition of Done)
- [ ] Code propre, documenté et testé unitairement (couverture > 80%)
- [ ] Revue de code approuvée par un développeur senior (Sarah ou Max)
- [ ] Changements vérifiés en environnement de QA (Julie)
- [ ] Aucune régression sur le dashboard ou le mode hors-ligne",Issue,https://gitlab.com/philippe.pary.astek/backlog-formation-popm/-/work_items/25,Closed,No,No,,"Feature::A - Slack, Priority::Medium, Type::User Story",Philippe Pary,philippe.pary.astek,"","",2026-05-27 13:26:17,2026-05-27 13:26:18,2026-05-27 13:26:17,,,,,,,,
191122549,26,Bug : Duplication des notifications Slack lors de l'édition rapide d'une tâche,"### 🚨 Description de l'anomalie
Un dysfonctionnement a été signalé par les utilisateurs ou l'équipe QA.

### 🎯 Comportement attendu
Une seule notification Slack doit être envoyée pour une série de modifications consécutives.

### ⚠️ Comportement observé
Si un utilisateur modifie le titre puis la description en moins de 5 secondes, 2 à 3 notifications distinctes inondent le canal Slack.

### 🔄 Étapes de reproduction
1. Ouvrir une tâche
2. Modifier le titre
3. Modifier immédiatement la date d'échéance
4. Vérifier Slack

### 💻 Environnement
- Navigateur: Chrome 124
- OS: macOS Sonoma",Issue,https://gitlab.com/philippe.pary.astek/backlog-formation-popm/-/work_items/26,Closed,No,No,,"Feature::A - Slack, Priority::High, Type::Bug",Philippe Pary,philippe.pary.astek,"","",2026-05-27 13:26:18,2026-05-27 13:26:19,2026-05-27 13:26:19,,,,,,,,
191122550,27,US : Formater le message Slack avec les détails de la tâche (Rich Text),"### 👤 Rôle utilisateur
**En tant que** utilisateur Slack
**Je souhaite** voir une notification joliment mise en forme avec un code couleur selon la priorité de la tâche et des boutons d'action
**Afin de** comprendre la sévérité d'un bug ou d'une tâche d'un simple coup d'œil

### 📋 Critères d'acceptation (Gherkin / Règles)
- Barre latérale rouge si priorité haute, orange si moyenne, grise si basse
- Affichage propre des listes à puces et du gras dans la description Slack

### 🛠️ DoD (Definition of Done)
- [ ] Code propre, documenté et testé unitairement (couverture > 80%)
- [ ] Revue de code approuvée par un développeur senior (Sarah ou Max)
- [ ] Changements vérifiés en environnement de QA (Julie)
- [ ] Aucune régression sur le dashboard ou le mode hors-ligne",Issue,https://gitlab.com/philippe.pary.astek/backlog-formation-popm/-/work_items/27,Closed,No,No,,"Feature::A - Slack, Priority::Low, Type::User Story",Philippe Pary,philippe.pary.astek,"","",2026-05-27 13:26:20,2026-05-27 13:26:20,2026-05-27 13:26:20,,,,,,,,
191122551,28,US : Permettre de désactiver temporairement les notifications Slack,"### 👤 Rôle utilisateur
**En tant que** utilisateur
**Je souhaite** activer un mode 'Ne pas déranger' ou désactiver globalement l'intégration Slack dans mes paramètres personnels
**Afin de** ne pas être submergé d'alertes en dehors de mes heures de travail ou pendant mes congés

### 📋 Critères d'acceptation (Gherkin / Règles)
- Toggle 'Désactiver les alertes Slack' dans le profil
- Possibilité de définir des plages horaires d'inactivité

### 🛠️ DoD (Definition of Done)
- [ ] Code propre, documenté et testé unitairement (couverture > 80%)
- [ ] Revue de code approuvée par un développeur senior (Sarah ou Max)
- [ ] Changements vérifiés en environnement de QA (Julie)
- [ ] Aucune régression sur le dashboard ou le mode hors-ligne",Issue,https://gitlab.com/philippe.pary.astek/backlog-formation-popm/-/work_items/28,Closed,No,No,,"Feature::A - Slack, Priority::Low, Type::User Story",Philippe Pary,philippe.pary.astek,"","",2026-05-27 13:26:21,2026-05-27 13:26:22,2026-05-27 13:26:22,,,,,,,,
191122553,29,Bug : Erreur 500 lors de la déconnexion de l'intégration Slack,"### 🚨 Description de l'anomalie
Un dysfonctionnement a été signalé par les utilisateurs ou l'équipe QA.

### 🎯 Comportement attendu
Cliquer sur 'Déconnecter Slack' doit supprimer les tokens d'accès de la base de données et actualiser l'interface proprement.

### ⚠️ Comportement observé
L'interface affiche une erreur 500 persistante car les tables de jointure conservent des contraintes d'intégrité non gérées.

### 🔄 Étapes de reproduction
1. Aller dans les paramètres d'intégration
2. Cliquer sur 'Supprimer la connexion Slack'
3. Constater l'erreur technique

### 💻 Environnement
- Navigateur: Chrome 124
- OS: macOS Sonoma",Issue,https://gitlab.com/philippe.pary.astek/backlog-formation-popm/-/work_items/29,Closed,No,No,,"Feature::A - Slack, Priority::High, Type::Bug",Philippe Pary,philippe.pary.astek,"","",2026-05-27 13:26:23,2026-05-27 13:26:23,2026-05-27 13:26:23,,,,,,,,
